127.0.0.1 - - [05/Jan/2024:09:45:55 +0900] "GET / HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:45:56 +0900] "GET / HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:45:56 +0900] "GET /resources/css/style.css HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:45:56 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:05 +0900] "GET / HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:05 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:05 +0900] "GET / HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:05 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:05 +0900] "GET / HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:05 +0900] "GET /resources/css/style.css HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:05 +0900] "GET /resources/images/bear.jpg HTTP/1.1" 200 41234
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:05 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:05 +0900] "GET / HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:05 +0900] "GET /resources/css/style.css HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:05 +0900] "GET /resources/images/bear.jpg HTTP/1.1" 200 41234
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:05 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:13 +0900] "GET /user/login HTTP/1.1" 200 1717
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:13 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:20 +0900] "POST /user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:20 +0900] "GET / HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:20 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:22 +0900] "GET /board/ HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:22 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:22 +0900] "GET /board/write HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:22 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:27 +0900] "POST /board/write HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:27 +0900] "GET /board/ HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:27 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:28 +0900] "GET /board/write HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:28 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:32 +0900] "POST /board/write HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:32 +0900] "GET /board/ HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:32 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:33 +0900] "GET /board/write HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:33 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:36 +0900] "POST /board/write HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:36 +0900] "GET /board/ HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:36 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:38 +0900] "GET /board/write HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:38 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:41 +0900] "POST /board/write HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:41 +0900] "GET /board/ HTTP/1.1" 200 3449
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:41 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:42 +0900] "GET /board/write HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:42 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:46 +0900] "POST /board/write HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:46 +0900] "GET /board/ HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:46 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:47 +0900] "GET /board/write HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:47 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:51 +0900] "POST /board/write HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:51 +0900] "GET /board/ HTTP/1.1" 200 3973
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:51 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:52 +0900] "GET /board/write HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [05/Jan/2024:09:46:52 +0900] "GET /favicon.ico HTTP/1.1" 200 -
